APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3527306001,5151.0,4697.0,454.0,0.0,0.0,0.0,5049.0,102.0,0.0,4762.0,389.0,0.0,5126.0,25.0,0.0,496.0,4655.0,0.0,160.0,4991.0,0.0,4746.0,405.0,0.0,4534.0,212.0,405.0,33.0,4713.0,405.0,626.0,1233.0,921.0,2371.0,0.0,15143.0,13827.0,1316.0,0.0,0.0,0.0,14848.0,295.0,0.0,14016.0,1127.0,0.0,15061.0,82.0,0.0,1404.0,13739.0,0.0,432.0,14711.0,0.0,13992.0,1151.0,0.0,13377.0,615.0,1151.0,94.0,13898.0,1151.0,1814.0,3578.0,2862.0,6889.0,0.0,793.0,705.0,71.0,17.0,0.0,0.0,773.0,20.0,0.0,718.0,75.0,0.0,776.0,17.0,0.0,94.0,699.0,0.0,16.0,777.0,0.0,646.0,147.0,0.0,577.0,69.0,147.0,16.0,630.0,147.0,172.0,178.0,126.0,317.0,0.0
3527306002,3963.0,3270.0,689.0,4.0,0.0,0.0,3510.0,453.0,0.0,3230.0,733.0,0.0,3883.0,80.0,0.0,675.0,3288.0,0.0,47.0,3916.0,0.0,3414.0,549.0,0.0,3090.0,324.0,549.0,287.0,3127.0,549.0,1111.0,480.0,495.0,1877.0,0.0,11546.0,9486.0,2045.0,15.0,0.0,0.0,10194.0,1352.0,0.0,9384.0,2162.0,0.0,11317.0,229.0,0.0,1929.0,9617.0,0.0,140.0,11406.0,0.0,9909.0,1637.0,0.0,8972.0,937.0,1637.0,772.0,9137.0,1637.0,3157.0,1408.0,1513.0,5468.0,0.0,797.0,634.0,156.0,6.0,0.0,1.0,690.0,106.0,1.0,609.0,187.0,1.0,751.0,45.0,1.0,124.0,672.0,1.0,21.0,775.0,1.0,601.0,195.0,1.0,535.0,66.0,196.0,74.0,527.0,196.0,273.0,100.0,89.0,334.0,1.0
3527306003,6838.0,5904.0,895.0,39.0,0.0,0.0,6710.0,128.0,0.0,6390.0,448.0,0.0,6758.0,80.0,0.0,835.0,6003.0,0.0,5.0,6833.0,0.0,6146.0,692.0,0.0,5850.0,296.0,692.0,204.0,5942.0,692.0,2006.0,2509.0,797.0,1526.0,0.0,19279.0,16705.0,2453.0,121.0,0.0,0.0,18901.0,378.0,0.0,17967.0,1312.0,0.0,19045.0,234.0,0.0,2254.0,17025.0,0.0,14.0,19265.0,0.0,17307.0,1972.0,0.0,16352.0,955.0,1972.0,660.0,16647.0,1972.0,5558.0,7073.0,2204.0,4444.0,0.0,471.0,414.0,45.0,12.0,0.0,0.0,448.0,23.0,0.0,403.0,68.0,0.0,443.0,28.0,0.0,55.0,416.0,0.0,3.0,468.0,0.0,399.0,72.0,0.0,340.0,59.0,72.0,25.0,374.0,72.0,184.0,140.0,46.0,101.0,0.0
MUNICIPIO,15952.0,13871.0,2038.0,43.0,0.0,0.0,15269.0,683.0,0.0,14382.0,1570.0,0.0,15767.0,185.0,0.0,2006.0,13946.0,0.0,212.0,15740.0,0.0,14306.0,1646.0,0.0,13474.0,832.0,1646.0,524.0,13782.0,1646.0,3743.0,4222.0,2213.0,5774.0,0.0,45968.0,40018.0,5814.0,136.0,0.0,0.0,43943.0,2025.0,0.0,41367.0,4601.0,0.0,45423.0,545.0,0.0,5587.0,40381.0,0.0,586.0,45382.0,0.0,41208.0,4760.0,0.0,38701.0,2507.0,4760.0,1526.0,39682.0,4760.0,10529.0,12059.0,6579.0,16801.0,0.0,2061.0,1753.0,272.0,35.0,0.0,1.0,1911.0,149.0,1.0,1730.0,330.0,1.0,1970.0,90.0,1.0,273.0,1787.0,1.0,40.0,2020.0,1.0,1646.0,414.0,1.0,1452.0,194.0,415.0,115.0,1531.0,415.0,629.0,418.0,261.0,752.0,1.0
