APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3509007001,4802.0,4029.0,586.0,172.0,0.0,15.0,4693.0,94.0,15.0,2651.0,2136.0,15.0,4459.0,328.0,15.0,647.0,4140.0,15.0,26.0,4761.0,15.0,4349.0,438.0,15.0,3856.0,493.0,453.0,154.0,4195.0,453.0,1822.0,974.0,678.0,1313.0,15.0,14003.0,11778.0,1677.0,504.0,0.0,44.0,13692.0,267.0,44.0,7902.0,6057.0,44.0,13023.0,936.0,44.0,1779.0,12180.0,44.0,91.0,13868.0,44.0,12668.0,1291.0,44.0,11244.0,1424.0,1335.0,425.0,12243.0,1335.0,5232.0,2889.0,1926.0,3912.0,44.0,847.0,721.0,67.0,34.0,0.0,25.0,777.0,45.0,25.0,528.0,294.0,25.0,744.0,78.0,25.0,74.0,748.0,25.0,14.0,808.0,25.0,645.0,177.0,25.0,521.0,124.0,202.0,13.0,632.0,202.0,320.0,155.0,71.0,276.0,25.0
3509007002,3110.0,2862.0,44.0,203.0,0.0,1.0,3101.0,8.0,1.0,1620.0,1489.0,1.0,2987.0,122.0,1.0,745.0,2364.0,1.0,118.0,2991.0,1.0,2786.0,323.0,1.0,2574.0,212.0,324.0,49.0,2737.0,324.0,958.0,525.0,289.0,1337.0,1.0,9094.0,8331.0,141.0,618.0,0.0,4.0,9065.0,25.0,4.0,4755.0,4335.0,4.0,8693.0,397.0,4.0,2074.0,7016.0,4.0,359.0,8731.0,4.0,8150.0,940.0,4.0,7521.0,629.0,944.0,144.0,8006.0,944.0,2801.0,1463.0,808.0,4018.0,4.0,461.0,405.0,10.0,41.0,0.0,5.0,455.0,1.0,5.0,209.0,247.0,5.0,441.0,15.0,5.0,57.0,399.0,5.0,27.0,429.0,5.0,400.0,56.0,5.0,312.0,88.0,61.0,33.0,367.0,61.0,127.0,43.0,22.0,264.0,5.0
3509007003,5464.0,5392.0,48.0,21.0,0.0,3.0,5384.0,77.0,3.0,3129.0,2332.0,3.0,5428.0,33.0,3.0,1359.0,4102.0,3.0,37.0,5424.0,3.0,5355.0,106.0,3.0,4658.0,697.0,109.0,210.0,5145.0,109.0,952.0,1530.0,1265.0,1714.0,3.0,15464.0,15248.0,149.0,56.0,0.0,11.0,15220.0,233.0,11.0,8950.0,6503.0,11.0,15360.0,93.0,11.0,3837.0,11616.0,11.0,107.0,15346.0,11.0,15151.0,302.0,11.0,13253.0,1898.0,313.0,616.0,14535.0,313.0,2703.0,4231.0,3570.0,4949.0,11.0,439.0,361.0,15.0,54.0,0.0,9.0,408.0,22.0,9.0,239.0,191.0,9.0,425.0,5.0,9.0,98.0,332.0,9.0,5.0,425.0,9.0,341.0,89.0,9.0,285.0,56.0,98.0,11.0,330.0,98.0,154.0,93.0,60.0,123.0,9.0
3509007004,3806.0,3773.0,27.0,6.0,0.0,0.0,3806.0,0.0,0.0,2130.0,1676.0,0.0,3806.0,0.0,0.0,791.0,3015.0,0.0,26.0,3780.0,0.0,3775.0,31.0,0.0,1100.0,2675.0,31.0,170.0,3605.0,31.0,1537.0,554.0,590.0,1125.0,0.0,10460.0,10380.0,70.0,10.0,0.0,0.0,10460.0,0.0,0.0,6095.0,4365.0,0.0,10460.0,0.0,0.0,2090.0,8370.0,0.0,57.0,10403.0,0.0,10376.0,84.0,0.0,2995.0,7381.0,84.0,399.0,9977.0,84.0,4270.0,1480.0,1516.0,3194.0,0.0,515.0,457.0,6.0,51.0,0.0,1.0,514.0,0.0,1.0,238.0,276.0,1.0,514.0,0.0,1.0,99.0,415.0,1.0,13.0,501.0,1.0,486.0,28.0,1.0,148.0,338.0,29.0,43.0,443.0,29.0,250.0,76.0,52.0,136.0,1.0
3509007005,7481.0,7218.0,167.0,96.0,0.0,0.0,7382.0,99.0,0.0,5089.0,2392.0,0.0,7106.0,375.0,0.0,1387.0,6094.0,0.0,173.0,7308.0,0.0,7231.0,250.0,0.0,6469.0,762.0,250.0,67.0,7164.0,250.0,3428.0,1745.0,1175.0,1133.0,0.0,22225.0,21426.0,500.0,299.0,0.0,0.0,21900.0,325.0,0.0,15441.0,6784.0,0.0,21075.0,1150.0,0.0,4110.0,18115.0,0.0,481.0,21744.0,0.0,21473.0,752.0,0.0,19227.0,2246.0,752.0,189.0,21284.0,752.0,9809.0,5355.0,3609.0,3452.0,0.0,777.0,661.0,25.0,85.0,0.0,6.0,762.0,9.0,6.0,446.0,325.0,6.0,722.0,49.0,6.0,129.0,642.0,6.0,32.0,739.0,6.0,651.0,120.0,6.0,540.0,111.0,126.0,7.0,644.0,126.0,500.0,123.0,65.0,83.0,6.0
3509007006,5165.0,5078.0,62.0,25.0,0.0,0.0,5156.0,9.0,0.0,2836.0,2329.0,0.0,5143.0,22.0,0.0,952.0,4213.0,0.0,75.0,5090.0,0.0,5044.0,121.0,0.0,4465.0,579.0,121.0,82.0,4962.0,121.0,3149.0,1648.0,119.0,249.0,0.0,14974.0,14704.0,184.0,86.0,0.0,0.0,14948.0,26.0,0.0,8148.0,6826.0,0.0,14905.0,69.0,0.0,2724.0,12250.0,0.0,212.0,14762.0,0.0,14607.0,367.0,0.0,12919.0,1688.0,367.0,218.0,14389.0,367.0,9193.0,4777.0,337.0,667.0,0.0,433.0,386.0,4.0,43.0,0.0,0.0,427.0,6.0,0.0,251.0,182.0,0.0,431.0,2.0,0.0,70.0,363.0,0.0,4.0,429.0,0.0,389.0,44.0,0.0,329.0,60.0,44.0,5.0,384.0,44.0,287.0,101.0,22.0,23.0,0.0
3509007007,1262.0,561.0,312.0,318.0,0.0,71.0,876.0,315.0,71.0,245.0,946.0,71.0,811.0,380.0,71.0,66.0,1125.0,71.0,26.0,1165.0,71.0,413.0,778.0,71.0,368.0,45.0,849.0,0.0,413.0,849.0,988.0,64.0,81.0,58.0,71.0,3829.0,1665.0,980.0,948.0,0.0,236.0,2623.0,970.0,236.0,717.0,2876.0,236.0,2443.0,1150.0,236.0,184.0,3409.0,236.0,75.0,3518.0,236.0,1240.0,2353.0,236.0,1117.0,123.0,2589.0,0.0,1240.0,2589.0,3003.0,194.0,225.0,171.0,236.0,183.0,94.0,46.0,33.0,0.0,10.0,117.0,56.0,10.0,31.0,142.0,10.0,117.0,56.0,10.0,9.0,164.0,10.0,5.0,168.0,10.0,58.0,115.0,10.0,48.0,10.0,125.0,0.0,58.0,125.0,127.0,17.0,9.0,20.0,10.0
MUNICIPIO,31090.0,28913.0,1246.0,841.0,0.0,90.0,30398.0,602.0,90.0,17700.0,13300.0,90.0,29740.0,1260.0,90.0,5947.0,25053.0,90.0,481.0,30519.0,90.0,28953.0,2047.0,90.0,23490.0,5463.0,2137.0,732.0,28221.0,2137.0,12834.0,7040.0,4197.0,6929.0,90.0,90049.0,83532.0,3701.0,2521.0,0.0,295.0,87908.0,1846.0,295.0,52008.0,37746.0,295.0,85959.0,3795.0,295.0,16798.0,72956.0,295.0,1382.0,88372.0,295.0,83665.0,6089.0,295.0,68276.0,15389.0,6384.0,1991.0,81674.0,6384.0,37011.0,20389.0,11991.0,20363.0,295.0,3655.0,3085.0,173.0,341.0,0.0,56.0,3460.0,139.0,56.0,1942.0,1657.0,56.0,3394.0,205.0,56.0,536.0,3063.0,56.0,100.0,3499.0,56.0,2970.0,629.0,56.0,2183.0,787.0,685.0,112.0,2858.0,685.0,1765.0,608.0,301.0,925.0,56.0
