APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3516408001,4809.0,2886.0,1782.0,113.0,0.0,28.0,3418.0,1363.0,28.0,1701.0,3080.0,28.0,4074.0,707.0,28.0,1329.0,3452.0,28.0,0.0,4781.0,28.0,3298.0,1483.0,28.0,3267.0,31.0,1511.0,130.0,3168.0,1511.0,1575.0,1035.0,679.0,1492.0,28.0,13669.0,8008.0,5265.0,290.0,0.0,106.0,9777.0,3786.0,106.0,4892.0,8671.0,106.0,11573.0,1990.0,106.0,3765.0,9798.0,106.0,0.0,13563.0,106.0,9403.0,4160.0,106.0,9292.0,111.0,4266.0,310.0,9093.0,4266.0,4344.0,2929.0,2000.0,4290.0,106.0,736.0,373.0,310.0,36.0,0.0,17.0,303.0,416.0,17.0,132.0,587.0,17.0,452.0,267.0,17.0,104.0,615.0,17.0,0.0,719.0,17.0,255.0,464.0,17.0,247.0,8.0,481.0,12.0,243.0,481.0,165.0,110.0,70.0,374.0,17.0
3516408002,8080.0,6212.0,1348.0,519.0,0.0,1.0,7156.0,923.0,1.0,4423.0,3656.0,1.0,7474.0,605.0,1.0,1841.0,6238.0,1.0,0.0,8079.0,1.0,6850.0,1229.0,1.0,6517.0,333.0,1230.0,72.0,6778.0,1230.0,2936.0,2369.0,821.0,1953.0,1.0,23064.0,17554.0,3988.0,1520.0,0.0,2.0,20199.0,2863.0,2.0,12511.0,10551.0,2.0,21212.0,1850.0,2.0,5032.0,18030.0,2.0,0.0,23062.0,2.0,19435.0,3627.0,2.0,18424.0,1011.0,3629.0,205.0,19230.0,3629.0,8448.0,6706.0,2321.0,5587.0,2.0,694.0,460.0,98.0,133.0,0.0,3.0,528.0,163.0,3.0,302.0,389.0,3.0,568.0,123.0,3.0,102.0,589.0,3.0,1.0,690.0,3.0,475.0,216.0,3.0,423.0,52.0,219.0,8.0,467.0,219.0,330.0,147.0,52.0,162.0,3.0
3516408003,6883.0,6277.0,300.0,305.0,0.0,1.0,6582.0,300.0,1.0,3214.0,3668.0,1.0,6346.0,536.0,1.0,864.0,6018.0,1.0,0.0,6882.0,1.0,6340.0,542.0,1.0,6194.0,146.0,543.0,143.0,6197.0,543.0,2375.0,2009.0,935.0,1563.0,1.0,19603.0,17820.0,868.0,913.0,0.0,2.0,18731.0,870.0,2.0,9138.0,10463.0,2.0,18021.0,1580.0,2.0,2432.0,17169.0,2.0,0.0,19601.0,2.0,17981.0,1620.0,2.0,17614.0,367.0,1622.0,408.0,17573.0,1622.0,6846.0,5724.0,2600.0,4431.0,2.0,672.0,501.0,44.0,125.0,0.0,2.0,572.0,98.0,2.0,262.0,408.0,2.0,536.0,134.0,2.0,86.0,584.0,2.0,3.0,667.0,2.0,494.0,176.0,2.0,446.0,48.0,178.0,23.0,471.0,178.0,311.0,160.0,74.0,125.0,2.0
3516408004,8151.0,7652.0,462.0,33.0,0.0,4.0,7486.0,661.0,4.0,4544.0,3603.0,4.0,7763.0,384.0,4.0,1570.0,6577.0,4.0,2.0,8145.0,4.0,7392.0,755.0,4.0,5580.0,1812.0,759.0,1073.0,6319.0,759.0,1946.0,1881.0,1538.0,2782.0,4.0,23863.0,22384.0,1369.0,96.0,0.0,14.0,22013.0,1836.0,14.0,13471.0,10378.0,14.0,22703.0,1146.0,14.0,4428.0,19421.0,14.0,8.0,23841.0,14.0,21734.0,2115.0,14.0,16485.0,5249.0,2129.0,3242.0,18492.0,2129.0,5708.0,5519.0,4478.0,8144.0,14.0,821.0,716.0,64.0,35.0,0.0,6.0,651.0,164.0,6.0,344.0,471.0,6.0,682.0,133.0,6.0,113.0,702.0,6.0,3.0,812.0,6.0,582.0,233.0,6.0,535.0,47.0,239.0,16.0,566.0,239.0,275.0,163.0,118.0,259.0,6.0
3516408005,7544.0,6947.0,415.0,177.0,0.0,5.0,7477.0,62.0,5.0,3716.0,3823.0,5.0,7416.0,123.0,5.0,1439.0,6100.0,5.0,0.0,7539.0,5.0,7233.0,306.0,5.0,7200.0,33.0,311.0,89.0,7144.0,311.0,2912.0,1934.0,840.0,1853.0,5.0,21335.0,19638.0,1135.0,546.0,0.0,16.0,21113.0,206.0,16.0,10535.0,10784.0,16.0,20930.0,389.0,16.0,4042.0,17277.0,16.0,0.0,21319.0,16.0,20373.0,946.0,16.0,20291.0,82.0,962.0,276.0,20097.0,962.0,8169.0,5450.0,2439.0,5261.0,16.0,862.0,667.0,70.0,118.0,1.0,6.0,811.0,44.0,7.0,371.0,484.0,7.0,778.0,77.0,7.0,127.0,728.0,7.0,0.0,855.0,7.0,698.0,157.0,7.0,664.0,34.0,164.0,31.0,667.0,164.0,443.0,180.0,67.0,165.0,7.0
3516408006,6286.0,5776.0,394.0,97.0,0.0,19.0,6096.0,171.0,19.0,4053.0,2214.0,19.0,6138.0,129.0,19.0,1930.0,4337.0,19.0,149.0,6118.0,19.0,5982.0,285.0,19.0,5678.0,304.0,304.0,35.0,5947.0,304.0,2486.0,1574.0,921.0,1286.0,19.0,18190.0,16668.0,1160.0,305.0,0.0,57.0,17579.0,554.0,57.0,11645.0,6488.0,57.0,17732.0,401.0,57.0,5444.0,12689.0,57.0,428.0,17705.0,57.0,17239.0,894.0,57.0,16311.0,928.0,951.0,97.0,17142.0,951.0,7232.0,4626.0,2599.0,3676.0,57.0,608.0,437.0,82.0,66.0,0.0,23.0,537.0,48.0,23.0,326.0,259.0,23.0,540.0,45.0,23.0,109.0,476.0,23.0,13.0,572.0,23.0,462.0,123.0,23.0,426.0,36.0,146.0,5.0,457.0,146.0,294.0,115.0,62.0,114.0,23.0
3516408007,6726.0,5950.0,685.0,85.0,0.0,6.0,6620.0,100.0,6.0,4457.0,2263.0,6.0,6708.0,12.0,6.0,1000.0,5720.0,6.0,41.0,6679.0,6.0,6570.0,150.0,6.0,6022.0,548.0,156.0,93.0,6477.0,156.0,2258.0,1314.0,640.0,2508.0,6.0,18029.0,15928.0,1867.0,218.0,0.0,16.0,17739.0,274.0,16.0,11962.0,6051.0,16.0,17981.0,32.0,16.0,2683.0,15330.0,16.0,93.0,17920.0,16.0,17607.0,406.0,16.0,16181.0,1426.0,422.0,253.0,17354.0,422.0,6220.0,3517.0,1692.0,6584.0,16.0,879.0,697.0,115.0,52.0,0.0,15.0,845.0,19.0,15.0,539.0,325.0,15.0,847.0,17.0,15.0,121.0,743.0,15.0,13.0,851.0,15.0,774.0,90.0,15.0,642.0,132.0,105.0,68.0,706.0,105.0,317.0,167.0,74.0,306.0,15.0
MUNICIPIO,48479.0,41700.0,5386.0,1329.0,0.0,64.0,44835.0,3580.0,64.0,26108.0,22307.0,64.0,45919.0,2496.0,64.0,9973.0,38442.0,64.0,192.0,48223.0,64.0,43665.0,4750.0,64.0,40458.0,3207.0,4814.0,1635.0,42030.0,4814.0,16488.0,12116.0,6374.0,13437.0,64.0,137753.0,118000.0,15652.0,3888.0,0.0,213.0,127151.0,10389.0,213.0,74154.0,63386.0,213.0,130152.0,7388.0,213.0,27826.0,109714.0,213.0,529.0,137011.0,213.0,123772.0,13768.0,213.0,114598.0,9174.0,13981.0,4791.0,118981.0,13981.0,46967.0,34471.0,18129.0,37973.0,213.0,5272.0,3851.0,783.0,565.0,1.0,72.0,4247.0,952.0,73.0,2276.0,2923.0,73.0,4403.0,796.0,73.0,762.0,4437.0,73.0,33.0,5166.0,73.0,3740.0,1459.0,73.0,3383.0,357.0,1532.0,163.0,3577.0,1532.0,2135.0,1042.0,517.0,1505.0,73.0
