APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3556206001,7188.0,6822.0,360.0,6.0,0.0,0.0,7183.0,5.0,0.0,6594.0,594.0,0.0,7171.0,17.0,0.0,1346.0,5842.0,0.0,46.0,7142.0,0.0,7172.0,16.0,0.0,3559.0,3613.0,16.0,1001.0,6171.0,16.0,281.0,1235.0,1740.0,3932.0,0.0,19708.0,18727.0,965.0,16.0,0.0,0.0,19694.0,14.0,0.0,17991.0,1717.0,0.0,19658.0,50.0,0.0,3564.0,16144.0,0.0,126.0,19582.0,0.0,19659.0,49.0,0.0,10086.0,9573.0,49.0,2528.0,17131.0,49.0,775.0,3324.0,4948.0,10661.0,0.0,915.0,841.0,68.0,3.0,0.0,3.0,903.0,9.0,3.0,760.0,152.0,3.0,901.0,11.0,3.0,122.0,790.0,3.0,5.0,907.0,3.0,862.0,50.0,3.0,448.0,414.0,53.0,28.0,834.0,53.0,153.0,271.0,194.0,294.0,3.0
3556206002,5711.0,5689.0,22.0,0.0,0.0,0.0,5660.0,51.0,0.0,5131.0,580.0,0.0,5692.0,19.0,0.0,1725.0,3986.0,0.0,275.0,5436.0,0.0,5627.0,84.0,0.0,4801.0,826.0,84.0,44.0,5583.0,84.0,116.0,385.0,1619.0,3591.0,0.0,16835.0,16770.0,65.0,0.0,0.0,0.0,16675.0,160.0,0.0,15129.0,1706.0,0.0,16766.0,69.0,0.0,5097.0,11738.0,0.0,790.0,16045.0,0.0,16585.0,250.0,0.0,14096.0,2489.0,250.0,136.0,16449.0,250.0,332.0,1110.0,4803.0,10590.0,0.0,641.0,634.0,7.0,0.0,0.0,0.0,631.0,10.0,0.0,554.0,87.0,0.0,631.0,10.0,0.0,178.0,463.0,0.0,26.0,615.0,0.0,589.0,52.0,0.0,433.0,156.0,52.0,10.0,579.0,52.0,76.0,99.0,167.0,299.0,0.0
3556206003,6313.0,6214.0,96.0,3.0,0.0,0.0,6310.0,3.0,0.0,4642.0,1671.0,0.0,6311.0,2.0,0.0,483.0,5830.0,0.0,43.0,6270.0,0.0,6286.0,27.0,0.0,3636.0,2650.0,27.0,613.0,5673.0,27.0,559.0,1296.0,1061.0,3397.0,0.0,15707.0,15461.0,239.0,7.0,0.0,0.0,15700.0,7.0,0.0,11809.0,3898.0,0.0,15701.0,6.0,0.0,1164.0,14543.0,0.0,126.0,15581.0,0.0,15643.0,64.0,0.0,9158.0,6485.0,64.0,1373.0,14270.0,64.0,1399.0,3279.0,2669.0,8360.0,0.0,1094.0,1040.0,46.0,6.0,0.0,2.0,1090.0,2.0,2.0,834.0,258.0,2.0,1089.0,3.0,2.0,128.0,964.0,2.0,15.0,1077.0,2.0,1063.0,29.0,2.0,497.0,566.0,31.0,91.0,972.0,31.0,201.0,246.0,193.0,452.0,2.0
3556206004,5913.0,5889.0,23.0,0.0,0.0,1.0,5864.0,48.0,1.0,5755.0,157.0,1.0,5893.0,19.0,1.0,836.0,5076.0,1.0,91.0,5821.0,1.0,5670.0,242.0,1.0,3856.0,1814.0,243.0,27.0,5643.0,243.0,205.0,221.0,1384.0,4102.0,1.0,16826.0,16755.0,67.0,0.0,0.0,4.0,16685.0,137.0,4.0,16394.0,428.0,4.0,16773.0,49.0,4.0,2170.0,14652.0,4.0,261.0,16561.0,4.0,16132.0,690.0,4.0,10986.0,5146.0,694.0,85.0,16047.0,694.0,568.0,601.0,3792.0,11861.0,4.0,1054.0,1027.0,7.0,0.0,0.0,20.0,1001.0,33.0,20.0,932.0,102.0,20.0,1021.0,13.0,20.0,110.0,924.0,20.0,10.0,1024.0,20.0,848.0,186.0,20.0,553.0,295.0,206.0,11.0,837.0,206.0,165.0,90.0,169.0,610.0,20.0
3556206005,6140.0,5561.0,572.0,7.0,0.0,0.0,4970.0,1170.0,0.0,4130.0,2010.0,0.0,5802.0,338.0,0.0,1154.0,4986.0,0.0,50.0,6090.0,0.0,4066.0,2074.0,0.0,2950.0,1116.0,2074.0,260.0,3806.0,2074.0,1301.0,587.0,791.0,3461.0,0.0,17116.0,15299.0,1802.0,15.0,0.0,0.0,13682.0,3434.0,0.0,11303.0,5813.0,0.0,16204.0,912.0,0.0,2988.0,14128.0,0.0,131.0,16985.0,0.0,11089.0,6027.0,0.0,8305.0,2784.0,6027.0,651.0,10438.0,6027.0,3634.0,1706.0,2244.0,9532.0,0.0,1349.0,1199.0,137.0,8.0,0.0,5.0,996.0,348.0,5.0,724.0,620.0,5.0,1105.0,239.0,5.0,117.0,1227.0,5.0,17.0,1327.0,5.0,585.0,759.0,5.0,499.0,86.0,764.0,6.0,579.0,764.0,308.0,111.0,148.0,777.0,5.0
3556206006,7009.0,6823.0,170.0,16.0,0.0,0.0,6958.0,51.0,0.0,6078.0,931.0,0.0,6959.0,50.0,0.0,822.0,6187.0,0.0,253.0,6756.0,0.0,6753.0,256.0,0.0,5152.0,1601.0,256.0,349.0,6404.0,256.0,430.0,1177.0,1743.0,3659.0,0.0,18102.0,17625.0,437.0,40.0,0.0,0.0,17950.0,152.0,0.0,15779.0,2323.0,0.0,17957.0,145.0,0.0,2040.0,16062.0,0.0,687.0,17415.0,0.0,17382.0,720.0,0.0,13252.0,4130.0,720.0,854.0,16528.0,720.0,1052.0,2976.0,4632.0,9442.0,0.0,851.0,828.0,14.0,6.0,0.0,3.0,835.0,13.0,3.0,712.0,136.0,3.0,841.0,7.0,3.0,127.0,721.0,3.0,32.0,816.0,3.0,737.0,111.0,3.0,539.0,198.0,114.0,24.0,713.0,114.0,108.0,140.0,201.0,399.0,3.0
3556206007,6186.0,6151.0,35.0,0.0,0.0,0.0,6005.0,181.0,0.0,4818.0,1368.0,0.0,6184.0,2.0,0.0,580.0,5606.0,0.0,49.0,6137.0,0.0,5762.0,424.0,0.0,3916.0,1846.0,424.0,80.0,5682.0,424.0,331.0,552.0,1050.0,4253.0,0.0,16389.0,16293.0,96.0,0.0,0.0,0.0,15891.0,498.0,0.0,12975.0,3414.0,0.0,16384.0,5.0,0.0,1597.0,14792.0,0.0,134.0,16255.0,0.0,15203.0,1186.0,0.0,10381.0,4822.0,1186.0,196.0,15007.0,1186.0,770.0,1322.0,2727.0,11570.0,0.0,1542.0,1535.0,6.0,0.0,0.0,1.0,1458.0,83.0,1.0,1148.0,393.0,1.0,1537.0,4.0,1.0,166.0,1375.0,1.0,44.0,1497.0,1.0,1202.0,339.0,1.0,705.0,497.0,340.0,52.0,1150.0,340.0,137.0,164.0,236.0,1004.0,1.0
MUNICIPIO,44460.0,43149.0,1278.0,32.0,0.0,1.0,42950.0,1509.0,1.0,37148.0,7311.0,1.0,44012.0,447.0,1.0,6946.0,37513.0,1.0,807.0,43652.0,1.0,41336.0,3123.0,1.0,27870.0,13466.0,3124.0,2374.0,38962.0,3124.0,3223.0,5453.0,9388.0,26395.0,1.0,120683.0,116930.0,3671.0,78.0,0.0,4.0,116277.0,4402.0,4.0,101380.0,19299.0,4.0,119443.0,1236.0,4.0,18620.0,102059.0,4.0,2255.0,118424.0,4.0,111693.0,8986.0,4.0,76264.0,35429.0,8990.0,5823.0,105870.0,8990.0,8530.0,14318.0,25815.0,72016.0,4.0,7446.0,7104.0,285.0,23.0,0.0,34.0,6914.0,498.0,34.0,5664.0,1748.0,34.0,7125.0,287.0,34.0,948.0,6464.0,34.0,149.0,7263.0,34.0,5886.0,1526.0,34.0,3674.0,2212.0,1560.0,222.0,5664.0,1560.0,1148.0,1121.0,1308.0,3835.0,34.0
