CD_SETOR,APOND
352730605000001,3527306002
352730605000002,3527306002
352730605000004,3527306003
352730605000006,3527306001
352730605000007,3527306003
352730605000008,3527306003
352730605000010,3527306001
352730605000012,3527306001
352730605000013,3527306001
352730605000015,3527306003
352730605000016,3527306002
352730605000020,3527306002
352730605000021,3527306002
352730605000022,3527306002
352730605000023,3527306002
352730605000024,3527306002
352730605000025,3527306002
352730605000026,3527306001
352730605000028,3527306003
352730605000033,3527306002
352730605000037,3527306002
352730605000038,3527306002
352730605000040,3527306003
352730605000041,3527306003
352730605000043,3527306003
352730605000044,3527306003
352730605000045,3527306003
352730605000046,3527306001
352730605000047,3527306001
352730605000049,3527306001
352730605000051,3527306002
352730605000052,3527306002
352730605000054,3527306003
352730605000055,3527306003
352730605000056,3527306001
352730605000057,3527306001
352730605000060,3527306002
352730605000061,3527306002
352730605000062,3527306002
352730605000064,3527306003
352730605000066,3527306003
352730605000067,3527306003
352730605000068,3527306003
352730605000069,3527306002
352730605000070,3527306001
352730605000071,3527306001
352730605000072,3527306002
352730605000073,3527306001
352730605000074,3527306001
352730605000075,3527306002
352730605000076,3527306003
352730605000078,3527306003
352730605000079,3527306003
352730605000080,3527306003
352730605000083,3527306001
352730605000084,3527306001
352730605000085,3527306001
352730605000086,3527306001
352730605000087,3527306001
352730605000088,3527306001
352730605000089,3527306001
352730605000090,3527306001
352730605000093,3527306002
352730605000094,3527306001
352730605000095,3527306003
352730605000097,3527306003
352730605000098,3527306003
352730605000099,3527306003
352730605000100,3527306003
352730605000101,3527306002
352730605000102,3527306002
352730605000104,3527306001
352730605000107,3527306003
352730605000110,3527306003
352730605000111,3527306003
352730605000112,3527306003
352730605000113,3527306003
352730605000114,3527306003
352730605000115,3527306001
352730605000116,3527306001
352730605000117,3527306002
352730605000118,3527306002
352730605000119,3527306002
352730605000120,3527306001
352730605000121,3527306001
352730605000122,3527306003
352730605000123,3527306003
352730605000124,3527306001
352730605000125,3527306001
352730605000126,3527306003
352730605000127,3527306002
352730605000128,3527306003
