APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3509601001,3747.0,3583.0,128.0,7.0,0.0,29.0,3641.0,77.0,29.0,2573.0,1145.0,29.0,3658.0,60.0,29.0,659.0,3059.0,29.0,79.0,3639.0,29.0,3559.0,159.0,29.0,3457.0,102.0,188.0,18.0,3541.0,188.0,985.0,1132.0,775.0,826.0,29.0,10596.0,10146.0,347.0,21.0,0.0,82.0,10298.0,216.0,82.0,7388.0,3126.0,82.0,10353.0,161.0,82.0,1802.0,8712.0,82.0,209.0,10305.0,82.0,10062.0,452.0,82.0,9754.0,308.0,534.0,48.0,10014.0,534.0,2723.0,3228.0,2267.0,2296.0,82.0,473.0,412.0,15.0,13.0,0.0,33.0,381.0,59.0,33.0,251.0,189.0,33.0,386.0,54.0,33.0,56.0,384.0,33.0,9.0,431.0,33.0,334.0,106.0,33.0,308.0,26.0,139.0,2.0,332.0,139.0,164.0,102.0,68.0,106.0,33.0
3509601002,3592.0,3378.0,135.0,13.0,0.0,66.0,2870.0,656.0,66.0,2363.0,1163.0,66.0,3284.0,242.0,66.0,687.0,2839.0,66.0,70.0,3456.0,66.0,2699.0,827.0,66.0,2665.0,34.0,893.0,0.0,2699.0,893.0,1037.0,946.0,582.0,961.0,66.0,10435.0,9765.0,435.0,34.0,0.0,201.0,8246.0,1988.0,201.0,6765.0,3469.0,201.0,9530.0,704.0,201.0,1855.0,8379.0,201.0,184.0,10050.0,201.0,7694.0,2540.0,201.0,7608.0,86.0,2741.0,0.0,7694.0,2741.0,3029.0,2771.0,1692.0,2742.0,201.0,694.0,589.0,61.0,19.0,0.0,25.0,399.0,270.0,25.0,283.0,386.0,25.0,559.0,110.0,25.0,64.0,605.0,25.0,2.0,667.0,25.0,330.0,339.0,25.0,304.0,26.0,364.0,0.0,330.0,364.0,201.0,168.0,80.0,220.0,25.0
3509601003,4150.0,3965.0,52.0,125.0,0.0,8.0,3898.0,244.0,8.0,3338.0,804.0,8.0,3971.0,171.0,8.0,365.0,3777.0,8.0,51.0,4091.0,8.0,3757.0,385.0,8.0,3583.0,174.0,393.0,7.0,3750.0,393.0,2128.0,1294.0,525.0,195.0,8.0,12375.0,11798.0,170.0,377.0,0.0,30.0,11599.0,746.0,30.0,9913.0,2432.0,30.0,11820.0,525.0,30.0,1101.0,11244.0,30.0,176.0,12169.0,30.0,11199.0,1146.0,30.0,10682.0,517.0,1176.0,21.0,11178.0,1176.0,6338.0,3844.0,1587.0,576.0,30.0,405.0,310.0,17.0,69.0,0.0,9.0,298.0,98.0,9.0,238.0,158.0,9.0,325.0,71.0,9.0,35.0,361.0,9.0,12.0,384.0,9.0,272.0,124.0,9.0,237.0,35.0,133.0,5.0,267.0,133.0,227.0,82.0,38.0,49.0,9.0
3509601004,4037.0,4002.0,29.0,6.0,0.0,0.0,3980.0,57.0,0.0,2729.0,1308.0,0.0,3984.0,53.0,0.0,447.0,3590.0,0.0,3.0,4034.0,0.0,3929.0,108.0,0.0,3924.0,5.0,108.0,195.0,3734.0,108.0,1033.0,1514.0,783.0,707.0,0.0,11037.0,10931.0,90.0,16.0,0.0,0.0,10885.0,152.0,0.0,7465.0,3572.0,0.0,10892.0,145.0,0.0,1194.0,9843.0,0.0,5.0,11032.0,0.0,10747.0,290.0,0.0,10737.0,10.0,290.0,510.0,10237.0,290.0,2795.0,4219.0,2113.0,1910.0,0.0,584.0,536.0,25.0,18.0,0.0,5.0,530.0,49.0,5.0,374.0,205.0,5.0,533.0,46.0,5.0,82.0,497.0,5.0,4.0,575.0,5.0,497.0,82.0,5.0,467.0,30.0,87.0,46.0,451.0,87.0,231.0,144.0,78.0,126.0,5.0
3509601005,4656.0,4361.0,256.0,0.0,0.0,39.0,3481.0,1136.0,39.0,2742.0,1875.0,39.0,4551.0,66.0,39.0,477.0,4140.0,39.0,20.0,4597.0,39.0,3355.0,1262.0,39.0,3291.0,64.0,1301.0,29.0,3326.0,1301.0,735.0,1216.0,776.0,1890.0,39.0,13321.0,12463.0,750.0,0.0,0.0,108.0,9942.0,3271.0,108.0,7904.0,5309.0,108.0,13014.0,199.0,108.0,1406.0,11807.0,108.0,62.0,13151.0,108.0,9592.0,3621.0,108.0,9410.0,182.0,3729.0,79.0,9513.0,3729.0,2120.0,3460.0,2206.0,5427.0,108.0,879.0,786.0,45.0,22.0,0.0,26.0,490.0,363.0,26.0,339.0,514.0,26.0,817.0,36.0,26.0,89.0,764.0,26.0,2.0,851.0,26.0,412.0,441.0,26.0,363.0,49.0,467.0,24.0,388.0,467.0,205.0,173.0,97.0,378.0,26.0
3509601006,4712.0,4059.0,116.0,50.0,0.0,487.0,3816.0,409.0,487.0,3446.0,779.0,487.0,4019.0,206.0,487.0,672.0,3553.0,487.0,247.0,3978.0,487.0,3369.0,856.0,487.0,3225.0,144.0,1343.0,34.0,3335.0,1343.0,1376.0,1619.0,674.0,556.0,487.0,14072.0,12027.0,342.0,155.0,0.0,1548.0,11281.0,1243.0,1548.0,10189.0,2335.0,1548.0,11883.0,641.0,1548.0,1908.0,10616.0,1548.0,745.0,11779.0,1548.0,9937.0,2587.0,1548.0,9485.0,452.0,4135.0,91.0,9846.0,4135.0,4079.0,4740.0,2020.0,1685.0,1548.0,575.0,458.0,46.0,19.0,0.0,52.0,349.0,174.0,52.0,297.0,226.0,52.0,400.0,123.0,52.0,55.0,468.0,52.0,18.0,505.0,52.0,268.0,255.0,52.0,250.0,18.0,307.0,4.0,264.0,307.0,282.0,165.0,47.0,29.0,52.0
MUNICIPIO,24894.0,23348.0,716.0,201.0,0.0,629.0,21686.0,2579.0,629.0,17191.0,7074.0,629.0,23467.0,798.0,629.0,3307.0,20958.0,629.0,470.0,23795.0,629.0,20668.0,3597.0,629.0,20145.0,523.0,4226.0,283.0,20385.0,4226.0,7294.0,7721.0,4115.0,5135.0,629.0,71836.0,67130.0,2134.0,603.0,0.0,1969.0,62251.0,7616.0,1969.0,49624.0,20243.0,1969.0,67492.0,2375.0,1969.0,9266.0,60601.0,1969.0,1381.0,68486.0,1969.0,59231.0,10636.0,1969.0,57676.0,1555.0,12605.0,749.0,58482.0,12605.0,21084.0,22262.0,11885.0,14636.0,1969.0,3610.0,3091.0,209.0,160.0,0.0,150.0,2447.0,1013.0,150.0,1782.0,1678.0,150.0,3020.0,440.0,150.0,381.0,3079.0,150.0,47.0,3413.0,150.0,2113.0,1347.0,150.0,1929.0,184.0,1497.0,81.0,2032.0,1497.0,1310.0,834.0,408.0,908.0,150.0
