APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3516309001,4863.0,4300.0,378.0,185.0,0.0,0.0,4640.0,223.0,0.0,3374.0,1489.0,0.0,4758.0,105.0,0.0,1268.0,3595.0,0.0,309.0,4554.0,0.0,4502.0,361.0,0.0,3910.0,592.0,361.0,107.0,4395.0,361.0,1567.0,825.0,1328.0,1143.0,0.0,13544.0,11880.0,1115.0,549.0,0.0,0.0,12916.0,628.0,0.0,9397.0,4147.0,0.0,13224.0,320.0,0.0,3380.0,10164.0,0.0,820.0,12724.0,0.0,12496.0,1048.0,0.0,10964.0,1532.0,1048.0,279.0,12217.0,1048.0,4295.0,2381.0,3705.0,3163.0,0.0,333.0,246.0,40.0,45.0,0.0,2.0,301.0,30.0,2.0,189.0,142.0,2.0,304.0,27.0,2.0,62.0,269.0,2.0,11.0,320.0,2.0,265.0,66.0,2.0,225.0,40.0,68.0,7.0,258.0,68.0,145.0,65.0,61.0,60.0,2.0
3516309002,8115.0,6735.0,1034.0,330.0,0.0,16.0,6679.0,1420.0,16.0,3757.0,4342.0,16.0,7982.0,117.0,16.0,1546.0,6553.0,16.0,23.0,8076.0,16.0,6657.0,1442.0,16.0,6166.0,491.0,1458.0,223.0,6434.0,1458.0,1853.0,1554.0,1734.0,2958.0,16.0,23638.0,19547.0,3029.0,1014.0,0.0,48.0,19477.0,4113.0,48.0,11039.0,12551.0,48.0,23219.0,371.0,48.0,4456.0,19134.0,48.0,75.0,23515.0,48.0,19383.0,4207.0,48.0,17889.0,1494.0,4255.0,619.0,18764.0,4255.0,5516.0,4480.0,5006.0,8588.0,48.0,665.0,444.0,116.0,99.0,0.0,6.0,477.0,182.0,6.0,233.0,426.0,6.0,612.0,47.0,6.0,112.0,547.0,6.0,11.0,648.0,6.0,412.0,247.0,6.0,369.0,43.0,253.0,8.0,404.0,253.0,243.0,127.0,114.0,175.0,6.0
3516309003,8410.0,7840.0,414.0,156.0,0.0,0.0,8135.0,275.0,0.0,4676.0,3734.0,0.0,8381.0,29.0,0.0,1569.0,6841.0,0.0,116.0,8294.0,0.0,7865.0,545.0,0.0,7312.0,553.0,545.0,274.0,7591.0,545.0,2361.0,2332.0,1166.0,2551.0,0.0,23570.0,21924.0,1206.0,440.0,0.0,0.0,22823.0,747.0,0.0,13029.0,10541.0,0.0,23489.0,81.0,0.0,4288.0,19282.0,0.0,313.0,23257.0,0.0,22101.0,1469.0,0.0,20572.0,1529.0,1469.0,738.0,21363.0,1469.0,6674.0,6486.0,3278.0,7132.0,0.0,824.0,647.0,62.0,113.0,0.0,2.0,762.0,60.0,2.0,439.0,383.0,2.0,787.0,35.0,2.0,134.0,688.0,2.0,15.0,807.0,2.0,667.0,155.0,2.0,559.0,108.0,157.0,62.0,605.0,157.0,377.0,182.0,87.0,176.0,2.0
3516309004,5867.0,5043.0,468.0,340.0,0.0,16.0,4877.0,974.0,16.0,3504.0,2347.0,16.0,5353.0,498.0,16.0,1563.0,4288.0,16.0,252.0,5599.0,16.0,4363.0,1488.0,16.0,4128.0,235.0,1504.0,6.0,4357.0,1504.0,1312.0,2016.0,1214.0,1309.0,16.0,17237.0,14747.0,1410.0,1032.0,0.0,48.0,14278.0,2911.0,48.0,10249.0,6940.0,48.0,15680.0,1509.0,48.0,4541.0,12648.0,48.0,751.0,16438.0,48.0,12751.0,4438.0,48.0,12011.0,740.0,4486.0,10.0,12741.0,4486.0,3934.0,5929.0,3541.0,3785.0,48.0,557.0,378.0,76.0,95.0,0.0,8.0,402.0,147.0,8.0,270.0,279.0,8.0,466.0,83.0,8.0,128.0,421.0,8.0,45.0,504.0,8.0,327.0,222.0,8.0,290.0,37.0,230.0,8.0,319.0,230.0,222.0,162.0,79.0,86.0,8.0
3516309005,8101.0,6495.0,1186.0,418.0,0.0,2.0,7170.0,929.0,2.0,5977.0,2122.0,2.0,7850.0,249.0,2.0,1735.0,6364.0,2.0,32.0,8067.0,2.0,6082.0,2017.0,2.0,4371.0,1711.0,2019.0,633.0,5449.0,2019.0,3342.0,1883.0,1111.0,1763.0,2.0,23314.0,18612.0,3429.0,1265.0,0.0,8.0,20582.0,2724.0,8.0,17198.0,6108.0,8.0,22637.0,669.0,8.0,4975.0,18331.0,8.0,96.0,23210.0,8.0,17443.0,5863.0,8.0,12625.0,4818.0,5871.0,1779.0,15664.0,5871.0,9655.0,5480.0,3141.0,5030.0,8.0,565.0,382.0,92.0,85.0,0.0,6.0,432.0,127.0,6.0,325.0,234.0,6.0,493.0,66.0,6.0,114.0,445.0,6.0,6.0,553.0,6.0,342.0,217.0,6.0,261.0,81.0,223.0,19.0,323.0,223.0,291.0,102.0,67.0,99.0,6.0
3516309006,5045.0,4714.0,231.0,99.0,0.0,1.0,4860.0,184.0,1.0,2373.0,2671.0,1.0,4934.0,110.0,1.0,710.0,4334.0,1.0,0.0,5044.0,1.0,4624.0,420.0,1.0,4431.0,193.0,421.0,94.0,4530.0,421.0,2285.0,1375.0,506.0,878.0,1.0,14667.0,13634.0,713.0,319.0,0.0,1.0,14107.0,559.0,1.0,6995.0,7671.0,1.0,14340.0,326.0,1.0,1954.0,12712.0,1.0,0.0,14666.0,1.0,13429.0,1237.0,1.0,12941.0,488.0,1238.0,254.0,13175.0,1238.0,6631.0,3952.0,1467.0,2616.0,1.0,418.0,334.0,32.0,50.0,0.0,2.0,382.0,34.0,2.0,156.0,260.0,2.0,381.0,35.0,2.0,37.0,379.0,2.0,0.0,416.0,2.0,326.0,90.0,2.0,314.0,12.0,92.0,7.0,319.0,92.0,228.0,106.0,28.0,54.0,2.0
3516309007,6693.0,4803.0,1612.0,276.0,0.0,2.0,5286.0,1405.0,2.0,3366.0,3325.0,2.0,6601.0,90.0,2.0,1315.0,5376.0,2.0,37.0,6654.0,2.0,5161.0,1530.0,2.0,2957.0,2204.0,1532.0,61.0,5100.0,1532.0,1695.0,1132.0,1919.0,1945.0,2.0,18339.0,13014.0,4518.0,801.0,0.0,6.0,14408.0,3925.0,6.0,8979.0,9354.0,6.0,18116.0,217.0,6.0,3450.0,14883.0,6.0,118.0,18215.0,6.0,14023.0,4310.0,6.0,8144.0,5879.0,4316.0,175.0,13848.0,4316.0,4563.0,3243.0,5148.0,5379.0,6.0,606.0,372.0,144.0,89.0,0.0,1.0,426.0,179.0,1.0,241.0,364.0,1.0,563.0,42.0,1.0,111.0,494.0,1.0,7.0,598.0,1.0,368.0,237.0,1.0,191.0,177.0,238.0,4.0,364.0,238.0,187.0,90.0,153.0,175.0,1.0
3516309008,6693.0,5774.0,566.0,328.0,0.0,25.0,5461.0,1207.0,25.0,4216.0,2452.0,25.0,6453.0,215.0,25.0,2292.0,4376.0,25.0,103.0,6565.0,25.0,5135.0,1533.0,25.0,4823.0,312.0,1558.0,435.0,4700.0,1558.0,1734.0,1728.0,1382.0,1824.0,25.0,19223.0,16597.0,1602.0,946.0,0.0,78.0,15671.0,3474.0,78.0,12080.0,7065.0,78.0,18504.0,641.0,78.0,6575.0,12570.0,78.0,302.0,18843.0,78.0,14725.0,4420.0,78.0,13873.0,852.0,4498.0,1250.0,13475.0,4498.0,5058.0,4966.0,3923.0,5198.0,78.0,548.0,393.0,92.0,59.0,0.0,4.0,381.0,163.0,4.0,244.0,300.0,4.0,481.0,63.0,4.0,111.0,433.0,4.0,11.0,533.0,4.0,311.0,233.0,4.0,279.0,32.0,237.0,18.0,293.0,237.0,233.0,132.0,73.0,106.0,4.0
MUNICIPIO,53787.0,45704.0,5889.0,2132.0,0.0,62.0,47108.0,6617.0,62.0,31243.0,22482.0,62.0,52312.0,1413.0,62.0,11998.0,41727.0,62.0,872.0,52853.0,62.0,44389.0,9336.0,62.0,38098.0,6291.0,9398.0,1833.0,42556.0,9398.0,16149.0,12845.0,10360.0,14371.0,62.0,153532.0,129955.0,17022.0,6366.0,0.0,189.0,134262.0,19081.0,189.0,88966.0,64377.0,189.0,149209.0,4134.0,189.0,33619.0,119724.0,189.0,2475.0,150868.0,189.0,126351.0,26992.0,189.0,109019.0,17332.0,27181.0,5104.0,121247.0,27181.0,46326.0,36917.0,29209.0,40891.0,189.0,4516.0,3196.0,654.0,635.0,0.0,31.0,3563.0,922.0,31.0,2097.0,2388.0,31.0,4087.0,398.0,31.0,809.0,3676.0,31.0,106.0,4379.0,31.0,3018.0,1467.0,31.0,2488.0,530.0,1498.0,133.0,2885.0,1498.0,1926.0,966.0,662.0,931.0,31.0
