APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3556503001,4945.0,4821.0,104.0,20.0,0.0,0.0,4945.0,0.0,0.0,4834.0,111.0,0.0,4905.0,40.0,0.0,311.0,4634.0,0.0,104.0,4841.0,0.0,4588.0,357.0,0.0,4568.0,20.0,357.0,72.0,4516.0,357.0,1331.0,1650.0,786.0,1178.0,0.0,14491.0,14158.0,287.0,46.0,0.0,0.0,14491.0,0.0,0.0,14152.0,339.0,0.0,14358.0,133.0,0.0,909.0,13582.0,0.0,286.0,14205.0,0.0,13502.0,989.0,0.0,13442.0,60.0,989.0,215.0,13287.0,989.0,3926.0,4879.0,2253.0,3433.0,0.0,319.0,290.0,14.0,15.0,0.0,0.0,315.0,4.0,0.0,297.0,22.0,0.0,310.0,9.0,0.0,13.0,306.0,0.0,13.0,306.0,0.0,263.0,56.0,0.0,249.0,14.0,56.0,7.0,256.0,56.0,130.0,83.0,40.0,66.0,0.0
3556503002,6255.0,5285.0,529.0,435.0,0.0,6.0,5878.0,371.0,6.0,5568.0,681.0,6.0,5923.0,326.0,6.0,350.0,5899.0,6.0,0.0,6249.0,6.0,4689.0,1560.0,6.0,4633.0,56.0,1566.0,15.0,4674.0,1566.0,3718.0,1431.0,371.0,729.0,6.0,19002.0,15847.0,1675.0,1461.0,0.0,19.0,17824.0,1159.0,19.0,16867.0,2116.0,19.0,17913.0,1070.0,19.0,993.0,17990.0,19.0,0.0,18983.0,19.0,14020.0,4963.0,19.0,13871.0,149.0,4982.0,38.0,13982.0,4982.0,11556.0,4195.0,1057.0,2175.0,19.0,548.0,373.0,58.0,114.0,0.0,3.0,501.0,44.0,3.0,446.0,99.0,3.0,485.0,60.0,3.0,35.0,510.0,3.0,1.0,544.0,3.0,334.0,211.0,3.0,318.0,16.0,214.0,3.0,331.0,214.0,360.0,84.0,28.0,73.0,3.0
3556503003,4925.0,4725.0,188.0,3.0,0.0,9.0,4634.0,282.0,9.0,3721.0,1195.0,9.0,4867.0,49.0,9.0,266.0,4650.0,9.0,31.0,4885.0,9.0,4489.0,427.0,9.0,4437.0,52.0,436.0,41.0,4448.0,436.0,751.0,1352.0,724.0,2089.0,9.0,14185.0,13606.0,547.0,5.0,0.0,27.0,13335.0,823.0,27.0,10726.0,3432.0,27.0,14015.0,143.0,27.0,749.0,13409.0,27.0,89.0,14069.0,27.0,12889.0,1269.0,27.0,12750.0,139.0,1296.0,95.0,12794.0,1296.0,2103.0,3863.0,2089.0,6103.0,27.0,516.0,445.0,39.0,13.0,0.0,19.0,409.0,88.0,19.0,303.0,194.0,19.0,478.0,19.0,19.0,25.0,472.0,19.0,13.0,484.0,19.0,312.0,185.0,19.0,280.0,32.0,204.0,7.0,305.0,204.0,127.0,121.0,75.0,174.0,19.0
3556503004,6302.0,6254.0,47.0,1.0,0.0,0.0,6301.0,1.0,0.0,2887.0,3415.0,0.0,5348.0,954.0,0.0,712.0,5590.0,0.0,116.0,6186.0,0.0,6117.0,185.0,0.0,5894.0,223.0,185.0,73.0,6044.0,185.0,2317.0,2809.0,1053.0,123.0,0.0,17590.0,17466.0,122.0,2.0,0.0,0.0,17588.0,2.0,0.0,7991.0,9599.0,0.0,14931.0,2659.0,0.0,2023.0,15567.0,0.0,330.0,17260.0,0.0,17055.0,535.0,0.0,16458.0,597.0,535.0,197.0,16858.0,535.0,6509.0,7854.0,2886.0,341.0,0.0,463.0,372.0,10.0,81.0,0.0,0.0,449.0,14.0,0.0,182.0,281.0,0.0,382.0,81.0,0.0,38.0,425.0,0.0,5.0,458.0,0.0,364.0,99.0,0.0,330.0,34.0,99.0,7.0,357.0,99.0,275.0,135.0,41.0,12.0,0.0
3556503005,7814.0,7659.0,140.0,15.0,0.0,0.0,7766.0,48.0,0.0,5924.0,1890.0,0.0,7747.0,67.0,0.0,695.0,7119.0,0.0,19.0,7795.0,0.0,7660.0,154.0,0.0,7157.0,503.0,154.0,254.0,7406.0,154.0,2264.0,2731.0,1551.0,1268.0,0.0,21101.0,20660.0,395.0,46.0,0.0,0.0,20948.0,153.0,0.0,15977.0,5124.0,0.0,20907.0,194.0,0.0,1888.0,19213.0,0.0,58.0,21043.0,0.0,20647.0,454.0,0.0,19302.0,1345.0,454.0,669.0,19978.0,454.0,6114.0,7274.0,4202.0,3511.0,0.0,863.0,800.0,17.0,46.0,0.0,0.0,841.0,22.0,0.0,543.0,320.0,0.0,837.0,26.0,0.0,60.0,803.0,0.0,2.0,861.0,0.0,756.0,107.0,0.0,669.0,87.0,107.0,56.0,700.0,107.0,382.0,244.0,117.0,120.0,0.0
3556503006,4721.0,4690.0,28.0,3.0,0.0,0.0,4188.0,533.0,0.0,2882.0,1839.0,0.0,4676.0,45.0,0.0,459.0,4262.0,0.0,138.0,4583.0,0.0,3569.0,1152.0,0.0,2864.0,705.0,1152.0,199.0,3370.0,1152.0,2340.0,1095.0,352.0,934.0,0.0,12977.0,12893.0,79.0,5.0,0.0,0.0,11456.0,1521.0,0.0,7930.0,5047.0,0.0,12859.0,118.0,0.0,1226.0,11751.0,0.0,365.0,12612.0,0.0,9629.0,3348.0,0.0,7740.0,1889.0,3348.0,512.0,9117.0,3348.0,6354.0,2981.0,982.0,2660.0,0.0,474.0,434.0,22.0,8.0,0.0,10.0,324.0,140.0,10.0,229.0,235.0,10.0,431.0,33.0,10.0,44.0,420.0,10.0,3.0,461.0,10.0,234.0,230.0,10.0,178.0,56.0,240.0,15.0,219.0,240.0,216.0,94.0,39.0,115.0,10.0
3556503007,4607.0,4165.0,265.0,177.0,0.0,0.0,4448.0,159.0,0.0,3703.0,904.0,0.0,4561.0,46.0,0.0,225.0,4382.0,0.0,20.0,4587.0,0.0,4044.0,563.0,0.0,3960.0,84.0,563.0,18.0,4026.0,563.0,1666.0,1917.0,599.0,425.0,0.0,13639.0,12268.0,791.0,580.0,0.0,0.0,13116.0,523.0,0.0,10914.0,2725.0,0.0,13501.0,138.0,0.0,668.0,12971.0,0.0,64.0,13575.0,0.0,11904.0,1735.0,0.0,11656.0,248.0,1735.0,52.0,11852.0,1735.0,4973.0,5603.0,1819.0,1244.0,0.0,471.0,402.0,20.0,49.0,0.0,0.0,452.0,19.0,0.0,348.0,123.0,0.0,451.0,20.0,0.0,40.0,431.0,0.0,4.0,467.0,0.0,363.0,108.0,0.0,326.0,37.0,108.0,11.0,352.0,108.0,252.0,129.0,39.0,51.0,0.0
MUNICIPIO,39569.0,37599.0,1301.0,654.0,0.0,15.0,38160.0,1394.0,15.0,29519.0,10035.0,15.0,38027.0,1527.0,15.0,3018.0,36536.0,15.0,428.0,39126.0,15.0,35156.0,4398.0,15.0,33513.0,1643.0,4413.0,672.0,34484.0,4413.0,14387.0,12985.0,5436.0,6746.0,15.0,112985.0,106898.0,3896.0,2145.0,0.0,46.0,108758.0,4181.0,46.0,84557.0,28382.0,46.0,108484.0,4455.0,46.0,8456.0,104483.0,46.0,1192.0,111747.0,46.0,99646.0,13293.0,46.0,95219.0,4427.0,13339.0,1778.0,97868.0,13339.0,41535.0,36649.0,15288.0,19467.0,46.0,3654.0,3116.0,180.0,326.0,0.0,32.0,3291.0,331.0,32.0,2348.0,1274.0,32.0,3374.0,248.0,32.0,255.0,3367.0,32.0,41.0,3581.0,32.0,2626.0,996.0,32.0,2350.0,276.0,1028.0,106.0,2520.0,1028.0,1742.0,890.0,379.0,611.0,32.0
