APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3556701001,4649.0,4578.0,60.0,11.0,0.0,0.0,4610.0,39.0,0.0,3050.0,1599.0,0.0,4627.0,22.0,0.0,241.0,4408.0,0.0,216.0,4433.0,0.0,4519.0,130.0,0.0,3802.0,717.0,130.0,350.0,4169.0,130.0,1063.0,1170.0,690.0,1726.0,0.0,12483.0,12294.0,151.0,38.0,0.0,0.0,12352.0,131.0,0.0,8097.0,4386.0,0.0,12403.0,80.0,0.0,631.0,11852.0,0.0,585.0,11898.0,0.0,12101.0,382.0,0.0,10251.0,1850.0,382.0,879.0,11222.0,382.0,2757.0,3165.0,1848.0,4713.0,0.0,707.0,687.0,18.0,2.0,0.0,0.0,698.0,9.0,0.0,437.0,270.0,0.0,690.0,17.0,0.0,60.0,647.0,0.0,57.0,650.0,0.0,648.0,59.0,0.0,459.0,189.0,59.0,51.0,597.0,59.0,226.0,150.0,79.0,252.0,0.0
3556701002,4247.0,4210.0,23.0,0.0,0.0,14.0,4112.0,121.0,14.0,3768.0,465.0,14.0,4205.0,28.0,14.0,619.0,3614.0,14.0,94.0,4139.0,14.0,4035.0,198.0,14.0,3729.0,306.0,212.0,287.0,3748.0,212.0,858.0,799.0,419.0,2157.0,14.0,12355.0,12255.0,60.0,0.0,0.0,40.0,11989.0,326.0,40.0,11030.0,1285.0,40.0,12238.0,77.0,40.0,1853.0,10462.0,40.0,251.0,12064.0,40.0,11760.0,555.0,40.0,10881.0,879.0,595.0,866.0,10894.0,595.0,2477.0,2375.0,1210.0,6253.0,40.0,748.0,686.0,6.0,0.0,0.0,56.0,669.0,23.0,56.0,565.0,127.0,56.0,677.0,15.0,56.0,77.0,615.0,56.0,11.0,681.0,56.0,639.0,53.0,56.0,534.0,105.0,109.0,38.0,601.0,109.0,191.0,100.0,66.0,335.0,56.0
3556701003,4261.0,4058.0,49.0,0.0,0.0,154.0,4105.0,2.0,154.0,3156.0,951.0,154.0,4107.0,0.0,154.0,758.0,3349.0,154.0,0.0,4107.0,154.0,4090.0,17.0,154.0,3564.0,526.0,171.0,458.0,3632.0,171.0,1055.0,1105.0,540.0,1407.0,154.0,12066.0,11500.0,109.0,0.0,0.0,457.0,11596.0,13.0,457.0,8901.0,2708.0,457.0,11609.0,0.0,457.0,2169.0,9440.0,457.0,0.0,11609.0,457.0,11551.0,58.0,457.0,10070.0,1481.0,515.0,1262.0,10289.0,515.0,2979.0,3131.0,1506.0,3993.0,457.0,360.0,346.0,7.0,0.0,0.0,7.0,352.0,1.0,7.0,260.0,93.0,7.0,351.0,2.0,7.0,51.0,302.0,7.0,1.0,352.0,7.0,341.0,12.0,7.0,276.0,65.0,19.0,28.0,313.0,19.0,123.0,98.0,40.0,92.0,7.0
3556701004,4268.0,4229.0,23.0,0.0,0.0,16.0,4247.0,5.0,16.0,3642.0,610.0,16.0,4244.0,8.0,16.0,337.0,3915.0,16.0,0.0,4252.0,16.0,4127.0,125.0,16.0,3568.0,559.0,141.0,695.0,3432.0,141.0,529.0,192.0,275.0,3256.0,16.0,11580.0,11457.0,73.0,0.0,0.0,50.0,11518.0,12.0,50.0,9881.0,1649.0,50.0,11511.0,19.0,50.0,874.0,10656.0,50.0,0.0,11530.0,50.0,11172.0,358.0,50.0,9768.0,1404.0,408.0,1662.0,9510.0,408.0,1383.0,502.0,778.0,8867.0,50.0,946.0,878.0,10.0,0.0,0.0,58.0,886.0,2.0,58.0,713.0,175.0,58.0,874.0,14.0,58.0,44.0,844.0,58.0,3.0,885.0,58.0,806.0,82.0,58.0,682.0,124.0,140.0,53.0,753.0,140.0,122.0,88.0,66.0,612.0,58.0
3556701005,4404.0,4310.0,77.0,0.0,0.0,17.0,4207.0,180.0,17.0,3249.0,1138.0,17.0,4303.0,84.0,17.0,265.0,4122.0,17.0,0.0,4387.0,17.0,4071.0,316.0,17.0,3498.0,573.0,333.0,452.0,3619.0,333.0,596.0,755.0,629.0,2407.0,17.0,11717.0,11427.0,243.0,0.0,0.0,47.0,11125.0,545.0,47.0,8686.0,2984.0,47.0,11412.0,258.0,47.0,694.0,10976.0,47.0,0.0,11670.0,47.0,10746.0,924.0,47.0,9409.0,1337.0,971.0,1138.0,9608.0,971.0,1469.0,1945.0,1710.0,6546.0,47.0,1007.0,969.0,28.0,0.0,0.0,10.0,943.0,54.0,10.0,651.0,346.0,10.0,947.0,50.0,10.0,91.0,906.0,10.0,0.0,997.0,10.0,871.0,126.0,10.0,632.0,239.0,136.0,136.0,735.0,136.0,207.0,155.0,149.0,486.0,10.0
3556701006,5111.0,5011.0,35.0,12.0,0.0,53.0,5007.0,51.0,53.0,3933.0,1125.0,53.0,4669.0,389.0,53.0,303.0,4755.0,53.0,78.0,4980.0,53.0,4436.0,622.0,53.0,3814.0,622.0,675.0,293.0,4143.0,675.0,352.0,453.0,519.0,3734.0,53.0,14687.0,14421.0,82.0,31.0,0.0,153.0,14400.0,134.0,153.0,11367.0,3167.0,153.0,13426.0,1108.0,153.0,852.0,13682.0,153.0,209.0,14325.0,153.0,12782.0,1752.0,153.0,11068.0,1714.0,1905.0,723.0,12059.0,1905.0,980.0,1220.0,1526.0,10808.0,153.0,1037.0,1006.0,14.0,3.0,0.0,14.0,992.0,31.0,14.0,708.0,315.0,14.0,885.0,138.0,14.0,62.0,961.0,14.0,28.0,995.0,14.0,794.0,229.0,14.0,589.0,205.0,243.0,53.0,741.0,243.0,126.0,93.0,121.0,683.0,14.0
MUNICIPIO,26940.0,26396.0,267.0,23.0,0.0,254.0,26288.0,398.0,254.0,20798.0,5888.0,254.0,26155.0,531.0,254.0,2523.0,24163.0,254.0,388.0,26298.0,254.0,25278.0,1408.0,254.0,21975.0,3303.0,1662.0,2535.0,22743.0,1662.0,4453.0,4474.0,3072.0,14687.0,254.0,74888.0,73354.0,718.0,69.0,0.0,747.0,72980.0,1161.0,747.0,57962.0,16179.0,747.0,72599.0,1542.0,747.0,7073.0,67068.0,747.0,1045.0,73096.0,747.0,70112.0,4029.0,747.0,61447.0,8665.0,4776.0,6530.0,63582.0,4776.0,12045.0,12338.0,8578.0,41180.0,747.0,4805.0,4572.0,83.0,5.0,0.0,145.0,4540.0,120.0,145.0,3334.0,1326.0,145.0,4424.0,236.0,145.0,385.0,4275.0,145.0,100.0,4560.0,145.0,4099.0,561.0,145.0,3172.0,927.0,706.0,359.0,3740.0,706.0,995.0,684.0,521.0,2460.0,145.0
